Datum, Week, Streef Gewicht, Werkelijk Gewicht, Uren Gesport
09-13-2023, 01, -, 105, 2
11-22-2023, 10, 100, -, -
02-07-2024, 21, 95, -, -
04-17-2024, 31, 90, -, -
07-07-2024, 42, 85, -, -
